status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,target
checking account below 0 DM,18,critical account or other credits existing,furniture or equipment,2124,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,real estate,24,none,rent,2,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,12,existing credits paid back duly till now,radio or television,2214,savings below 100 DM,employed between 1 and 4 years,4,male single,none,3,building society savings agreement or life insurance,24,none,own,1,unskilled resident,1,no telephone,yes,good credit
no checking account,21,critical account or other credits existing,car (new),12680,unknown or no savings account,employed 7 years or more,4,male single,none,4,unknown or no property,30,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,24,critical account or other credits existing,car (new),2463,savings between 100 and 500 DM,employed between 4 and 7 years,4,male married or widowed,none,3,building society savings agreement or life insurance,27,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,1155,savings below 100 DM,employed 7 years or more,3,male married or widowed,guarantor,3,real estate,40,bank,own,2,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,30,existing credits paid back duly till now,furniture or equipment,3108,savings below 100 DM,employed less than 1 year,2,male divorced or separated,none,4,building society savings agreement or life insurance,31,none,own,1,unskilled resident,1,no telephone,yes,bad credit
no checking account,10,existing credits paid back duly till now,car (used),2901,unknown or no savings account,employed less than 1 year,1,"female divorced, separated, or married",none,4,real estate,31,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,critical account or other credits existing,furniture or equipment,3617,savings below 100 DM,employed 7 years or more,1,male single,none,4,car or other property,28,none,rent,3,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,radio or television,1655,savings below 100 DM,employed 7 years or more,2,male single,none,4,real estate,63,none,own,2,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,car (used),2812,unknown or no savings account,employed 7 years or more,2,"female divorced, separated, or married",none,4,real estate,26,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,36,critical account or other credits existing,education,8065,savings below 100 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,2,unknown or no property,25,none,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,21,critical account or other credits existing,car (used),3275,savings below 100 DM,employed 7 years or more,1,male single,none,4,car or other property,36,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,24,critical account or other credits existing,radio or television,2223,savings between 100 and 500 DM,employed 7 years or more,4,male single,none,4,building society savings agreement or life insurance,52,bank,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,12,critical account or other credits existing,car (new),1480,savings between 500 and 1000 DM,unemployed,2,male single,none,4,unknown or no property,66,bank,for free,3,unemployed or unskilled non-resident,1,no telephone,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,car (new),1371,unknown or no savings account,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,real estate,25,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,36,critical account or other credits existing,car (new),3535,savings below 100 DM,employed between 4 and 7 years,4,male single,none,4,car or other property,37,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,radio or television,3509,savings below 100 DM,employed between 4 and 7 years,4,"female divorced, separated, or married",guarantor,1,real estate,25,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,36,critical account or other credits existing,car (used),5711,savings above 1000 DM,employed 7 years or more,4,male single,none,2,car or other property,38,none,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,repairs,3872,savings below 100 DM,unemployed,2,"female divorced, separated, or married",none,4,car or other property,67,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,39,critical account or other credits existing,radio or television,4933,savings below 100 DM,employed between 4 and 7 years,2,male single,guarantor,2,real estate,25,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
no checking account,24,critical account or other credits existing,car (new),1940,savings above 1000 DM,employed 7 years or more,4,male single,none,4,real estate,60,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,no credits taken or all credits paid back duly,retraining,1410,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,real estate,31,none,own,1,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,car (new),836,savings between 100 and 500 DM,employed less than 1 year,4,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,23,bank,own,1,unskilled resident,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,20,existing credits paid back duly till now,car (used),6468,unknown or no savings account,unemployed,1,male divorced or separated,none,4,real estate,60,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,business,1941,savings above 1000 DM,employed between 1 and 4 years,4,male single,none,2,building society savings agreement or life insurance,35,none,own,1,unskilled resident,1,telephone registered under customer name,yes,good credit
no checking account,22,existing credits paid back duly till now,radio or television,2675,savings between 500 and 1000 DM,employed 7 years or more,3,male single,none,4,car or other property,40,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,48,critical account or other credits existing,car (used),2751,unknown or no savings account,employed 7 years or more,4,male single,none,3,car or other property,38,none,own,2,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,48,delay in paying off in the past,education,6224,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,50,none,for free,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,40,critical account or other credits existing,education,5998,savings below 100 DM,employed between 1 and 4 years,4,male single,none,3,unknown or no property,27,bank,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,21,existing credits paid back duly till now,business,1188,savings below 100 DM,employed 7 years or more,2,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,39,none,own,1,skilled employee or official,2,no telephone,yes,bad credit
no checking account,24,existing credits paid back duly till now,car (used),6313,unknown or no savings account,employed 7 years or more,3,male single,none,4,car or other property,41,none,own,1,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
no checking account,6,critical account or other credits existing,furniture or equipment,1221,unknown or no savings account,employed between 1 and 4 years,1,male married or widowed,none,2,building society savings agreement or life insurance,27,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,24,existing credits paid back duly till now,furniture or equipment,2892,savings below 100 DM,employed 7 years or more,3,male divorced or separated,none,4,unknown or no property,51,none,for free,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,existing credits paid back duly till now,furniture or equipment,3062,savings between 500 and 1000 DM,employed 7 years or more,4,male single,none,3,unknown or no property,32,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,9,existing credits paid back duly till now,furniture or equipment,2301,savings between 100 and 500 DM,employed less than 1 year,2,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,22,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,car (used),7511,unknown or no savings account,employed 7 years or more,1,male single,none,4,building society savings agreement or life insurance,51,none,for free,1,skilled employee or official,2,telephone registered under customer name,yes,bad credit
no checking account,12,critical account or other credits existing,furniture or equipment,1258,savings below 100 DM,employed less than 1 year,2,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,22,none,rent,2,unskilled resident,1,no telephone,yes,good credit
no checking account,24,delay in paying off in the past,car (new),717,unknown or no savings account,employed 7 years or more,4,male married or widowed,none,4,car or other property,54,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,9,existing credits paid back duly till now,car (new),1549,unknown or no savings account,employed less than 1 year,4,male single,none,2,real estate,35,none,own,1,unemployed or unskilled non-resident,1,no telephone,yes,good credit
no checking account,24,critical account or other credits existing,education,1597,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,54,none,for free,2,skilled employee or official,2,no telephone,yes,good credit
checking account between 0 and 200 DM,18,critical account or other credits existing,radio or television,1795,savings below 100 DM,employed 7 years or more,3,"female divorced, separated, or married",guarantor,4,real estate,48,bank,rent,2,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,20,critical account or other credits existing,furniture or equipment,4272,savings below 100 DM,employed 7 years or more,1,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,24,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,12,critical account or other credits existing,radio or television,976,unknown or no savings account,employed 7 years or more,4,male single,none,4,car or other property,35,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown or no savings account,unemployed,1,"female divorced, separated, or married",none,2,real estate,24,none,rent,1,unemployed or unskilled non-resident,1,no telephone,yes,good credit
checking account below 0 DM,36,existing credits paid back duly till now,car (new),9271,savings below 100 DM,employed between 4 and 7 years,2,male single,none,1,car or other property,24,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,6,existing credits paid back duly till now,radio or television,590,savings below 100 DM,employed less than 1 year,3,male married or widowed,none,3,real estate,26,none,own,1,unskilled resident,1,no telephone,no,good credit
no checking account,12,critical account or other credits existing,radio or television,930,unknown or no savings account,employed 7 years or more,4,male single,none,4,real estate,65,none,own,4,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,42,all credits at this bank paid back duly,car (used),9283,savings below 100 DM,unemployed,1,male single,none,2,unknown or no property,55,bank,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,15,no credits taken or all credits paid back duly,car (new),1778,savings below 100 DM,employed less than 1 year,2,"female divorced, separated, or married",none,1,real estate,26,none,rent,2,unemployed or unskilled non-resident,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,8,existing credits paid back duly till now,business,907,savings below 100 DM,employed less than 1 year,3,male married or widowed,none,2,real estate,26,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,6,existing credits paid back duly till now,radio or television,484,savings below 100 DM,employed between 4 and 7 years,3,male married or widowed,guarantor,3,real estate,28,bank,own,1,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,36,critical account or other credits existing,car (used),9629,savings below 100 DM,employed between 4 and 7 years,4,male single,none,4,car or other property,24,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,48,existing credits paid back duly till now,domestic appliances,3051,savings below 100 DM,employed between 1 and 4 years,3,male single,none,4,car or other property,54,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,48,existing credits paid back duly till now,car (new),3931,savings below 100 DM,employed between 4 and 7 years,4,male single,none,4,unknown or no property,46,none,for free,1,skilled employee or official,2,no telephone,yes,bad credit
checking account between 0 and 200 DM,36,delay in paying off in the past,car (new),7432,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,54,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,6,existing credits paid back duly till now,domestic appliances,1338,savings between 500 and 1000 DM,employed between 1 and 4 years,1,male divorced or separated,none,4,real estate,62,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,6,critical account or other credits existing,radio or television,1554,savings below 100 DM,employed between 4 and 7 years,1,"female divorced, separated, or married",none,2,car or other property,24,none,rent,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,36,existing credits paid back duly till now,others,15857,savings below 100 DM,unemployed,2,male divorced or separated,co-applicant,3,car or other property,43,none,own,1,"management, self-employed, or highly qualified",1,no telephone,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,radio or television,1345,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,none,3,real estate,26,bank,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,12,existing credits paid back duly till now,car (new),1101,savings below 100 DM,employed between 1 and 4 years,3,male married or widowed,none,2,real estate,27,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,12,existing credits paid back duly till now,radio or television,3016,savings below 100 DM,employed between 1 and 4 years,3,male married or widowed,none,1,car or other property,24,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,36,existing credits paid back duly till now,furniture or equipment,2712,savings below 100 DM,employed 7 years or more,2,male single,none,2,building society savings agreement or life insurance,41,bank,own,1,skilled employee or official,2,no telephone,yes,bad credit
checking account below 0 DM,8,critical account or other credits existing,car (new),731,savings below 100 DM,employed 7 years or more,4,male single,none,4,real estate,47,none,own,2,unskilled resident,1,no telephone,yes,good credit
no checking account,18,critical account or other credits existing,furniture or equipment,3780,savings below 100 DM,employed less than 1 year,3,male divorced or separated,none,2,car or other property,35,none,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,21,critical account or other credits existing,car (new),1602,savings below 100 DM,employed 7 years or more,4,male married or widowed,none,3,car or other property,30,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,18,critical account or other credits existing,car (new),3966,savings below 100 DM,employed 7 years or more,1,"female divorced, separated, or married",none,4,real estate,33,bank,rent,3,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,18,no credits taken or all credits paid back duly,business,4165,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,36,stores,own,2,skilled employee or official,2,no telephone,yes,bad credit
checking account below 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown or no savings account,employed 7 years or more,3,male single,none,4,unknown or no property,47,none,for free,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,48,delay in paying off in the past,business,6681,unknown or no savings account,employed between 1 and 4 years,4,male single,none,4,unknown or no property,38,none,for free,1,skilled employee or official,2,telephone registered under customer name,yes,good credit
no checking account,24,delay in paying off in the past,business,2375,savings between 500 and 1000 DM,employed between 1 and 4 years,4,male single,none,2,car or other property,44,none,own,2,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,car (new),1216,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,3,car or other property,23,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,45,no credits taken or all credits paid back duly,business,11816,savings below 100 DM,employed 7 years or more,2,male single,none,4,car or other property,29,none,rent,2,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,24,existing credits paid back duly till now,radio or television,5084,unknown or no savings account,employed 7 years or more,2,"female divorced, separated, or married",none,4,car or other property,42,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,15,existing credits paid back duly till now,radio or television,2327,savings below 100 DM,employed less than 1 year,2,"female divorced, separated, or married",none,3,real estate,25,none,own,1,unskilled resident,1,no telephone,yes,bad credit
checking account below 0 DM,12,no credits taken or all credits paid back duly,car (new),1082,savings below 100 DM,employed between 1 and 4 years,4,male single,none,4,car or other property,48,bank,own,2,skilled employee or official,1,no telephone,yes,bad credit
no checking account,12,existing credits paid back duly till now,radio or television,886,unknown or no savings account,employed between 1 and 4 years,4,"female divorced, separated, or married",none,2,car or other property,21,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,4,existing credits paid back duly till now,furniture or equipment,601,savings below 100 DM,employed less than 1 year,1,"female divorced, separated, or married",none,3,real estate,23,none,rent,1,unskilled resident,2,no telephone,yes,good credit
checking account below 0 DM,24,critical account or other credits existing,car (used),2957,savings below 100 DM,employed 7 years or more,4,male single,none,4,building society savings agreement or life insurance,63,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,24,critical account or other credits existing,radio or television,2611,savings below 100 DM,employed 7 years or more,4,male married or widowed,co-applicant,3,real estate,46,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,36,existing credits paid back duly till now,furniture or equipment,5179,savings below 100 DM,employed between 4 and 7 years,4,male single,none,2,building society savings agreement or life insurance,29,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,21,delay in paying off in the past,car (used),2993,savings below 100 DM,employed between 1 and 4 years,3,male single,none,2,real estate,28,stores,own,2,unskilled resident,1,no telephone,yes,good credit
no checking account,18,existing credits paid back duly till now,repairs,1943,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,real estate,23,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,24,all credits at this bank paid back duly,business,1559,savings below 100 DM,employed between 4 and 7 years,4,male single,none,4,car or other property,50,bank,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,18,existing credits paid back duly till now,furniture or equipment,3422,savings below 100 DM,employed 7 years or more,4,male single,none,4,building society savings agreement or life insurance,47,bank,own,3,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,21,existing credits paid back duly till now,furniture or equipment,3976,unknown or no savings account,employed between 4 and 7 years,2,male single,none,3,car or other property,35,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,18,existing credits paid back duly till now,car (new),6761,unknown or no savings account,employed between 1 and 4 years,2,male single,none,4,car or other property,68,none,rent,2,skilled employee or official,1,no telephone,yes,bad credit
no checking account,24,existing credits paid back duly till now,car (new),1249,savings below 100 DM,employed less than 1 year,4,male married or widowed,none,2,real estate,28,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,9,existing credits paid back duly till now,radio or television,1364,savings below 100 DM,employed between 4 and 7 years,3,male single,none,4,real estate,59,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,radio or television,709,savings below 100 DM,employed 7 years or more,4,male single,none,4,real estate,57,stores,own,1,unskilled resident,1,no telephone,yes,bad credit
checking account below 0 DM,20,critical account or other credits existing,car (new),2235,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,guarantor,2,building society savings agreement or life insurance,33,bank,rent,2,skilled employee or official,1,no telephone,no,bad credit
no checking account,24,critical account or other credits existing,car (used),4042,unknown or no savings account,employed between 4 and 7 years,3,male single,none,4,building society savings agreement or life insurance,43,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,15,critical account or other credits existing,radio or television,1471,savings below 100 DM,employed between 1 and 4 years,4,male single,none,4,unknown or no property,35,none,for free,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,18,all credits at this bank paid back duly,car (new),1442,savings below 100 DM,employed between 4 and 7 years,4,male single,none,4,unknown or no property,32,none,for free,2,unskilled resident,2,no telephone,yes,bad credit
no checking account,36,delay in paying off in the past,car (new),10875,savings below 100 DM,employed 7 years or more,2,male single,none,2,car or other property,45,none,own,2,skilled employee or official,2,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,car (new),1474,savings between 100 and 500 DM,employed less than 1 year,4,male married or widowed,none,3,real estate,33,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,10,existing credits paid back duly till now,retraining,894,unknown or no savings account,employed between 4 and 7 years,4,"female divorced, separated, or married",none,3,building society savings agreement or life insurance,40,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,15,critical account or other credits existing,furniture or equipment,3343,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,unknown or no property,28,none,for free,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,15,existing credits paid back duly till now,car (new),3959,savings below 100 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,29,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,9,existing credits paid back duly till now,car (new),3577,savings between 100 and 500 DM,employed between 1 and 4 years,1,male single,guarantor,2,real estate,26,none,rent,1,skilled employee or official,2,no telephone,no,good credit
no checking account,24,critical account or other credits existing,car (used),5804,savings above 1000 DM,employed between 1 and 4 years,4,male single,none,2,real estate,27,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,18,delay in paying off in the past,business,2169,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,none,2,car or other property,28,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,24,existing credits paid back duly till now,radio or television,2439,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,real estate,35,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,27,critical account or other credits existing,furniture or equipment,4526,savings above 1000 DM,employed less than 1 year,4,male single,none,2,real estate,32,stores,own,2,unskilled resident,2,telephone registered under customer name,yes,good credit
no checking account,10,existing credits paid back duly till now,furniture or equipment,2210,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,real estate,25,bank,rent,1,unskilled resident,1,no telephone,yes,bad credit
no checking account,15,existing credits paid back duly till now,furniture or equipment,2221,savings between 500 and 1000 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,4,car or other property,20,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,radio or television,2389,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,1,car or other property,27,stores,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,12,critical account or other credits existing,furniture or equipment,3331,savings below 100 DM,employed 7 years or more,2,male single,none,4,building society savings agreement or life insurance,42,stores,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,36,existing credits paid back duly till now,business,7409,unknown or no savings account,employed 7 years or more,3,male single,none,2,building society savings agreement or life insurance,37,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,furniture or equipment,652,savings below 100 DM,employed 7 years or more,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,24,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,36,delay in paying off in the past,furniture or equipment,7678,savings between 500 and 1000 DM,employed between 4 and 7 years,2,"female divorced, separated, or married",none,4,car or other property,40,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,6,critical account or other credits existing,car (new),1343,savings below 100 DM,employed 7 years or more,1,male single,none,4,real estate,46,none,own,2,skilled employee or official,2,no telephone,no,good credit
checking account below 0 DM,24,critical account or other credits existing,business,1382,savings between 100 and 500 DM,employed between 4 and 7 years,4,male single,none,1,real estate,26,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown or no savings account,employed less than 1 year,4,"female divorced, separated, or married",none,1,real estate,24,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,furniture or equipment,3590,savings below 100 DM,employed between 1 and 4 years,2,male single,co-applicant,2,building society savings agreement or life insurance,29,none,own,1,unskilled resident,2,no telephone,yes,good credit
checking account between 0 and 200 DM,11,critical account or other credits existing,car (new),1322,savings above 1000 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,car or other property,40,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,18,all credits at this bank paid back duly,radio or television,1940,savings below 100 DM,employed less than 1 year,3,male single,co-applicant,4,unknown or no property,36,bank,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,36,existing credits paid back duly till now,radio or television,3595,savings below 100 DM,employed 7 years or more,4,male single,none,2,car or other property,28,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,9,existing credits paid back duly till now,car (new),1422,savings below 100 DM,employed less than 1 year,3,male single,none,2,unknown or no property,27,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,30,critical account or other credits existing,radio or television,6742,unknown or no savings account,employed between 4 and 7 years,2,male single,none,3,building society savings agreement or life insurance,36,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,existing credits paid back duly till now,car (used),7814,savings below 100 DM,employed between 4 and 7 years,3,male single,none,3,car or other property,38,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,car (used),9277,unknown or no savings account,employed between 1 and 4 years,2,male divorced or separated,none,4,unknown or no property,48,none,for free,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,30,critical account or other credits existing,car (new),2181,unknown or no savings account,employed 7 years or more,4,male single,none,4,real estate,36,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,18,critical account or other credits existing,radio or television,1098,savings below 100 DM,unemployed,4,"female divorced, separated, or married",none,4,car or other property,65,none,own,2,unemployed or unskilled non-resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,24,existing credits paid back duly till now,furniture or equipment,4057,savings below 100 DM,employed between 4 and 7 years,3,male divorced or separated,none,3,car or other property,43,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,12,existing credits paid back duly till now,education,795,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,53,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,24,critical account or other credits existing,business,2825,unknown or no savings account,employed between 4 and 7 years,4,male single,none,3,unknown or no property,34,none,own,2,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,48,existing credits paid back duly till now,business,15672,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,23,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,36,critical account or other credits existing,car (new),6614,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,34,none,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown or no savings account,employed less than 1 year,3,male single,guarantor,4,real estate,40,bank,rent,2,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account below 0 DM,27,critical account or other credits existing,business,2442,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,43,stores,own,4,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
no checking account,15,critical account or other credits existing,radio or television,1829,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,46,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,12,critical account or other credits existing,car (new),2171,savings below 100 DM,employed between 1 and 4 years,4,male single,none,4,building society savings agreement or life insurance,38,bank,own,2,unskilled resident,1,no telephone,no,good credit
checking account between 0 and 200 DM,36,critical account or other credits existing,car (used),5800,savings below 100 DM,employed between 1 and 4 years,3,male single,none,4,car or other property,34,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,18,critical account or other credits existing,radio or television,1169,unknown or no savings account,employed between 1 and 4 years,4,male single,none,3,building society savings agreement or life insurance,29,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
